Body Angle,Head Angle,Distance,Signal Strength
58,30,0,3280
57,30,0,3275
56,30,0,3280
55,30,0,3282
54,30,0,3275
53,30,0,3280
52,30,0,3274
51,30,0,3279
50,30,0,3279
49,30,0,3285
48,30,0,3275
47,30,0,3269
46,30,0,3280
45,30,0,3278
44,30,0,3266
43,30,0,3281
42,30,0,3286
41,30,0,3273
40,30,0,3274
39,30,0,3280
38,30,0,3282
37,30,0,3272
36,30,0,3281
35,30,0,3284
34,30,0,3280
33,30,0,3273
32,30,0,3275
31,30,0,3283
30,30,0,3287
29,30,0,3278
28,30,0,3274
27,30,0,3280
26,30,0,3276
25,30,0,3279
24,30,0,3274
23,30,0,3265
22,30,0,3289
21,30,0,3277
20,30,0,3277
19,30,0,3282
18,30,0,3283
17,30,0,3278
16,30,0,3276
15,30,0,3280
14,30,0,3279
13,30,0,3273
12,30,0,3280
11,30,0,3282
10,30,0,3283
9,30,0,3289
8,30,0,3277
7,30,0,3276
6,30,0,3275
5,30,0,3281
4,30,0,3281
3,30,0,3290
2,30,0,3284
1,30,0,3284
0,30,0,3277
0,40,0,3282
1,40,0,3285
2,40,0,3283
3,40,0,3287
4,40,0,3286
5,40,0,3277
6,40,0,3270
7,40,0,3278
8,40,0,3276
9,40,0,3280
10,40,0,3279
11,40,0,3280
12,40,0,3282
13,40,0,3279
14,40,0,3279
15,40,0,3277
16,40,0,3280
17,40,0,3272
18,40,0,3275
19,40,0,3278
20,40,0,3279
21,40,0,3284
22,40,0,3284
23,40,0,3290
24,40,0,3285
25,40,0,3282
26,40,0,3288
27,40,0,3280
28,40,0,3285
29,40,0,3284
30,40,0,3277
31,40,0,3292
32,40,0,3288
33,40,0,3288
34,40,0,3278
35,40,0,3285
36,40,0,3280
37,40,0,3283
38,40,0,3282
39,40,0,3279
40,40,0,3279
41,40,0,3278
42,40,0,3285
43,40,0,3281
44,40,0,3295
45,40,0,3295
46,40,0,3289
47,40,0,3299
48,40,0,3282
49,40,0,3288
50,40,0,3283
51,40,0,3285
52,40,0,3285
53,40,0,3285
54,40,0,3282
55,40,0,3285
56,40,0,3283
57,40,0,3302
58,40,0,3284
59,40,0,3293
60,40,0,3292
61,40,0,3290
62,40,0,3285
63,40,0,3278
64,40,0,3291
65,40,0,3300
66,40,0,3287
67,40,0,3296
68,40,0,3287
69,40,0,3289
70,40,0,3290
71,40,0,3289
72,40,0,3283
73,40,0,3289
74,40,0,3283
75,40,0,3287
76,40,0,3285
77,40,0,3283
78,40,0,3282
79,40,0,3284
80,40,0,3290
